

順位,名前,段位,KACPT,麻雀ファイトガール最終更新：2023/10/14 20:50時点のランキング
001位,パイン,総合スコア 590.6,ZERO雀星Lv.2,個人スコア356.0,ファイトガールスコア234.6
002位,アマト・テンシ,総合スコア 586.5,まに雀星Lv.3,個人スコア344.0,ファイトガールスコア242.5
003位,ナナツノ・ツミレ,総合スコア 572.9,DESSA雀星Lv.16,個人スコア342.7,ファイトガールスコア230.2
004位,アンコク・ミツバ,総合スコア 565.9,トネガワッ☆雀星Lv.12,個人スコア326.7,ファイトガールスコア239.2
005位,トイトイ,総合スコア 564.3,とかげ雀星Lv.16,個人スコア314.4,ファイトガールスコア249.9
006位,タテナオリ・セン,総合スコア 560.6,ほっけ雀星Lv.8,個人スコア311.7,ファイトガールスコア248.9
007位,ゼツバミ・ヤオ,総合スコア 549.5,SKコマチ雀星★Lv.22,個人スコア333.4,ファイトガールスコア216.1
008位,クニノカミ・ムサシ,総合スコア 537.9,チンイツ雀星Lv.10,個人スコア311.6,ファイトガールスコア226.3
009位,ヤワラギ・ヒヨリ,総合スコア 520.3,はま雀星★Lv.22,個人スコア322.0,ファイトガールスコア198.3
010位,藤崎詩織,総合スコア 492.2,いそぱん雀星Lv.29,個人スコア303.5,ファイトガールスコア188.7
個別ランキングヤワラギ・ヒヨリ
001位,はま,雀星★Lv.22,322.0
002位,のだコトネ,雀星Lv.8,290.2
003位,yellow,五段,269.0
004位,SOSDAN,八段,262.1
005位,strmdn,雀星Lv.2,257.9
006位,ファイトガール,雀星Lv.4,250.5
007位,なね,初段,247.7
008位,april,雀星Lv.10,247.2
009位,りん,雀星Lv.4,244.2
010位,ぱの,十段,241.8
011位,とおりん,雀星Lv.2,236.5
012位,ミンボー,雀星Lv.2,235.1
013位,KUMA9,雀星Lv.1,232.1
014位,ヤリカバゥ,六段,230.7
015位,YOTSUBA,四段,227.6
016位,ナガセ,雀星Lv.4,225.7
017位,ウォルテ,九段,220.2
018位,どら,初段,219.1
019位,かおるだ,雀星Lv.7,218.7
020位,コージロー,雀星Lv.34,217.9
021位,ちゅ～る,雀星Lv.2,215.5
022位,ブレクト,雀星Lv.2,214.2
023位,あおばや,九段,213.0
024位,りょーやん,十段,209.6
025位,エルフェルト,雀星Lv.2,202.8
026位,TACAS,４級,201.3
027位,ANK〇,四段,199.2
028位,てるてるー,七段,196.6
029位,むくぼき,四段,191.3
030位,トモトモ777,七段,190.1
031位,MANA,七段,185.8
032位,シルメリア,雀星Lv.1,185.5
033位,5＝13,八段,185.5
034位,0ロク0,三段,184.8
035位,Sac,四段,183.3
036位,ゆうきゆうな,雀星Lv.2,179.5
037位,ユンファ,五段,169.9
038位,HAIDO！？,４級,168.7
039位,ファイトガール,八段,152.6
040位,トラウデン,四段,151.2
041位,うおたみ,雀星Lv.25,146.5
